id,decay,alt_label,fancy_label,color,dileptonic,semileptonic,hadronic,ee,mumu,emu,etau,mutau,ejet,mujet
1,we_we,$ee$,$\sf t\bar{t}/tW/WW\rightarrow ee$,#3182bd,1,0,0,1,0,0,0,0,0,0
2,wmu_wmu,$\mu\mu$,$\sf t\bar{t}/tW/WW\rightarrow \mu\mu$,#3182bd,1,0,0,0,1,0,0,0,0,0
3,we_wmu,$e\mu$,$\sf t\bar{t}/tW/WW\rightarrow e\mu$,#3182bd,1,0,0,0,0,1,0,0,0,0
4,wtau_e_wtau_e,$\tau_{e}\tau_{e}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{e}\tau_{e}$,#6baed6,1,0,0,1,0,0,0,0,0,0
5,wtau_mu_wtau_mu,$\tau_{\mu}\tau_{\mu}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{\mu}\tau_{\mu}$,#6baed6,1,0,0,0,1,0,0,0,0,0
6,wtau_e_wtau_mu,$\tau_{e}\tau_{\mu}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{e}\tau_{\mu}$,#6baed6,1,0,0,0,0,1,0,0,0,0
7,wtau_e_wtau_h,$\tau_{e}\tau_{h}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{e}\tau_{h}$,#6baed6,1,0,0,0,0,0,1,0,1,0
8,wtau_mu_wtau_h,$\tau_{\mu}\tau_{h}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{\mu}\tau_{h}$,#6baed6,1,0,0,0,0,0,0,1,0,1
9,wtau_h_wtau_h,$\tau_{h}\tau_{h}$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{h}\tau_{h}$,k,1,0,0,0,0,0,0,0,0,0
10,we_wtau_e,$e\tau_{e}$,$\sf t\bar{t}/tW/WW\rightarrow e\tau_{e}$,#9ecae1,1,0,0,1,0,0,0,0,0,0
11,we_wtau_mu,$e\tau_{\mu}$,$\sf t\bar{t}/tW/WW\rightarrow e\tau_{\mu}$,#9ecae1,1,0,0,0,0,1,0,0,0,0
12,we_wtau_h,$e\tau_{h}$,$\sf t\bar{t}/tW/WW\rightarrow e\tau_{h}$,#9ecae1,1,0,0,0,0,0,1,0,1,0
13,wmu_wtau_e,$\mu\tau_{e}$,$\sf t\bar{t}/tW/WW\rightarrow \mu\tau_{e}$,#c6dbef,1,0,0,0,0,1,0,0,0,0
14,wmu_wtau_mu,$\mu\tau_{\mu}$,$\sf t\bar{t}/tW/WW\rightarrow \mu\tau_{\mu}$,#c6dbef,1,0,0,0,1,0,0,0,0,0
15,wmu_wtau_h,$\mu\tau_{h}$,$\sf t\bar{t}/tW/WW\rightarrow \mu\tau_{h}$,#c6dbef,1,0,0,0,0,0,0,1,0,1
16,we_wh,$e h$,$\sf t\bar{t}/tW/WW\rightarrow eh$,#3182bd,0,1,0,0,0,0,1,0,1,0
17,wmu_wh,$\mu h$,$\sf t\bar{t}/tW/WW\rightarrow \mu h$,#3182bd,0,1,0,0,0,0,0,1,0,1
18,wtau_e_wh,$\tau_{e} h$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{e} h$,#c6dbef,0,1,0,0,0,0,1,0,1,0
19,wtau_mu_wh,$\tau_{\mu} h$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{\mu} h$,#c6dbef,0,1,0,0,0,0,0,1,0,1
20,wtau_h_wh,$\tau_{h} h$,$\sf t\bar{t}/tW/WW\rightarrow \tau_{h} h$,k,0,1,0,0,0,0,0,0,0,0
21,wh_wh,$hh$,$\sf t\bar{t}/tW/WW\rightarrow hh$,k,0,0,1,0,0,0,0,0,0,0
