name,label,val_init,err_init,type,ttbar,t,zjets_alt,zjets,wjets,diboson,fakes,ee,emu,mumu,etau,mutau,e4j,mu4j
beta_e,r’$\beta_{e}$’,0.108,1000000000,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_mu,r’$\beta_{\mu}$’,0.108,1000000000,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_tau,r’$\beta_{\tau}$’,0.108,1000000000,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_h,r’$\beta_{h}$’,0.676,1000000000,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_e,r’$\b_{\tau_{e}}$’,0.1783,0.0004,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_mu,r’$\b_{\tau_{\mu}}$’,0.1741,0.0004,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_h,r’$\b_{\tau_{h}}$’,0.6476,0.001,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
lumi,r'$L_{int}$',1,0.025,norm,1,1,1,1,1,1,0,1,1,1,1,1,1,1
xs_ttbar,r’\sigma_{t\bar{t}}$’,1,0.05,norm,1,0,0,0,0,0,0,1,1,1,1,1,1,1
xs_t,r’\sigma_{tW}$’,1,0.1,norm,0,1,0,0,0,0,0,1,1,1,1,1,1,1
xs_zjets,r’\sigma_{Z}$’,1,0.1,norm,0,0,1,1,0,0,0,1,1,1,1,1,1,1
xs_wjets,r’\sigma_{W}$’,1,0.05,norm,0,0,0,0,1,0,0,1,1,1,1,1,1,1
xs_diboson,r’\sigma_{VV}$’,1,0.1,norm,0,0,0,0,0,1,0,1,1,1,1,1,1,1
norm_fakes,'qcd’,1,0.25,norm,0,0,0,0,0,0,1,0,0,0,1,1,1,1
trigger_e,r’$e$trigger’,1,0.01,norm,1,1,1,1,1,1,0,1,1,0,1,0,1,0
trigger_mu,r’$\mu$trigger’,1,0.01,norm,1,1,1,1,1,1,0,0,1,1,0,1,0,1
eff_e,r’$\epsilon_{e}$’,1,0.01,norm,1,1,1,1,1,1,0,1,1,0,1,0,1,0
eff_mu,r’$\epsilon_{\mu}$’,1,0.01,norm,1,1,1,1,1,1,0,0,1,1,0,1,0,1
eff_tau,r’$\epsilon_{\tau}$’,1,0.05,norm,1,1,1,1,1,1,0,0,0,0,0,1,0,0
pileup,'pileup’,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
escale_e,r’$e$ES’,0,1,shape,1,1,0,0,0,0,0,1,1,0,0,0,1,0
escale_mu,r’$\mu$ES’,0,1,shape,1,1,0,0,0,0,0,0,1,1,0,0,0,1
escale_tau,r’$\tau$ES’,0,1,shape,1,1,0,0,0,0,0,0,0,0,1,1,0,0
jes,'JES’,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jer,'JER’,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
btag,'btag’,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
mistag,'mistag’,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
mur,r’$\mu_{r}$’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
muf,r’\mu_{f}$’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
mur_muf,r’$\mu_{r}+\mu_{f}$’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
pdf,'PDF’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
fsr,r’$\alpha_{s}$(FSR)’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
isr,r’$\alpha_{s}$(ISR)’,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
tune,'UE’,0,1,shape,0,0,0,0,0,0,0,1,1,1,1,1,1,1
hdamp,'ME-PS’,0,1,shape,0,0,0,0,0,0,0,1,1,1,1,1,1,1
