name,label,val_init,err_init,type,ttbar,t,zjets_alt,zjets,wjets,diboson,fakes,ee,emu,mumu,etau,mutau,e4j,mu4j
beta_e,$\beta_{e}$,0.108,0.108,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_mu,$\beta_{\mu}$,0.108,0.108,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_tau,$\beta_{\tau}$,0.108,0.108,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
beta_h,$\beta_{h}$,0.676,0.676,poi,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_e,$b_{\tau_{e}}$,0.1783,0.0004,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_mu,$b_{\tau_{\mu}}$,0.1741,0.0004,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
br_tau_h,$b_{\tau_{h}}$,0.6476,0.001,norm,1,1,0,0,1,0,0,1,1,1,1,1,1,1
lumi,$L_{int}$,1,0.025,norm,1,1,1,1,1,1,0,1,1,1,1,1,1,1
xs_zjets,$\sigma_{Z}$,1,0.1,norm,0,0,1,1,0,0,0,1,1,1,1,1,1,1
xs_diboson,$\sigma_{VV}$,1,0.1,norm,0,0,0,0,0,1,0,1,1,1,1,1,1,1
xs_ttbar,$\sigma_{t\bar{t}}$,1,0.05,norm,1,0,0,0,0,0,0,1,1,1,1,1,1,1
xs_t,$\sigma_{tW}$,1,0.1,norm,0,1,0,0,0,0,0,1,1,1,1,1,1,1
xs_wjets,$\sigma_{W}$,1,0.05,norm,0,0,0,0,1,0,0,1,1,1,1,1,1,1
e_fakes,QCD (e),1,0.25,norm,0,0,0,0,0,0,1,0,0,0,1,0,1,0
mu_fakes,QCD ($\mu$),1,0.25,norm,0,0,0,0,0,0,1,0,0,0,0,1,0,1
trigger_e,$e$ trigger,1,0.01,norm,1,1,1,1,1,1,0,1,1,0,1,0,1,0
trigger_mu,$\mu$ trigger,1,0.01,norm,1,1,1,1,1,1,0,0,1,1,0,1,0,1
eff_e,$\epsilon_{e}$,1,0.01,norm,1,1,1,1,1,1,0,1,1,0,1,0,1,0
eff_mu,$\epsilon_{\mu}$,1,0.01,norm,1,1,1,1,1,1,0,0,1,1,0,1,0,1
eff_tau,$\epsilon_{\tau}$,1,0.05,norm,1,1,1,1,1,1,0,0,0,0,0,1,0,0
misid_tau_h,$\tau$ mis-ID,1,0.05,norm,1,1,1,1,1,1,0,0,0,0,0,1,0,0
pileup,pileup,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
escale_e,$e$ ES,0,1,shape,1,1,0,0,0,0,0,1,1,0,0,0,1,0
escale_mu,$\mu$ ES,0,1,shape,1,1,0,0,0,0,0,0,1,1,0,0,0,1
escale_tau,$\tau$ ES,0,1,shape,1,1,0,0,0,0,0,0,0,0,1,1,0,0
mur,$\mu_{r}$,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
muf,$\mu_{f}$,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
pdf,PDF,0,1,shape,1,0,0,0,0,0,0,1,1,1,1,1,1,1
btag,btag,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
mistag,mistag,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jer,JER,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_abs_scale,JES: absolute scale,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_abs_stat,JES: absolute stat,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_fragmentation,JES: fragmentation,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_abs_mpf_bias,JES: mpf bias,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_pileup_data_mc,JES: pileup data/MC,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_pileup_pt_bb,JES: pileup $p_{T}$ (bb),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_pileup_pt_ec1,JES: pileup $p_{T}$ (ec),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_pileup_pt_ref,JES: pileup $p_{T}$ (ref),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_bal,JES: rel. balance,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_jer_ec1,JES: rel. JER (ec),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_pt_bb,JES: rel. $p_{T}$ (bb),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_pt_ec1,JES: rel. $p_{T}$ (ec),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_stat_fsr,JES: rel. stat. FSR,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_relative_stat_ec,JES: rel. stat. (ec),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_single_pion_ecal,JES: $\pi$ (ECAL),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_single_pion_hcal,JES: $\pi$ (HCAL),0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_time_pt_eta,JES: time $p_{T}/\eta$,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
jes_flavor_qcd,JES: flavor,0,1,shape,1,1,0,0,0,0,0,1,1,1,1,1,1,1
