category,njets,ee,mumu,emu,etau,mutau,e4j,mu4j
cat_eq0_eq0,0,0,0,0,0.046481475516359,0.04660460303591,0,0
cat_eq1_eq0,1,0,0,0,0.075628791093461,0.081616600362232,0,0
cat_gt2_eq0,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_eq1_eq1,1,0,0,0,0.075628791093461,0.081616600362232,0,0
cat_eq2_eq1,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt2_eq1_a,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt2_eq1_b,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt3_eq1,3,0.391019052589741,0.386456263340816,0.396835255825739,0.395463997350635,0.394005759727573,0.448445822916472,0.448445822916472
cat_eq2_gt2,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt2_gt2_a,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt2_gt2_b,2,0.179048187115378,0.177682411111804,0.180414778305762,0.147174331851709,0.167956437523041,0,0
cat_gt3_gt2,3,0.391019052589741,0.386456263340816,0.396835255825739,0.395463997350635,0.394005759727573,0.448445822916472,0.448445822916472
cat_gt4_eq1,4,0.391019052589741,0.386456263340816,0.396835255825739,0.395463997350635,0.394005759727573,0.448445822916472,0.448445822916472
cat_gt4_gt2,4,0.391019052589741,0.386456263340816,0.396835255825739,0.395463997350635,0.394005759727573,0.448445822916472,0.448445822916472
