channel,expected,expected_err,observed
ee_0,425191.2,41737.3,405708
ee_1,31572.0,1503.9,30140 
ee_2,14840.9,783.5,14566 
mumu_0,1120828.8,110172.1,1079715
mumu_1,88424.5,4187.7,85826 
mumu_2,40148.2,2075.8,39772 
emu_0,51430.6,2338.9,50028 
emu_1,96704.9,5085.6,92921 
emu_2,53614.3,2910.8,53558 
mu4j_0,716604.8,32008.8,706346
mu4j_1,427747.0,21950.4,427215
e4j_0,457006.5,20658.2,465447
e4j_1,272678.8,14078.4,274606
etau_0_0,54957.0,3355.2,55285 
etau_1_0,6008.1,400.6,6040  
etau_2_0,26510.3,1022.2,25621 
etau_1_1,6239.6,242.2,6226  
etau_2_1,7642.3,351.7,7337  
etau_3_1,6885.8,342.5,6633  
etau_2_2,2777.5,148.6,2672  
etau_3_2,3773.8,202.2,3677  
mutau_0_0,144018.4,10887.7,145220
mutau_1_0,13629.3,944.2,13214 
mutau_2_0,38652.2,1531.3,37948 
mutau_1_1,10925.3,407.4,10554 
mutau_2_1,12284.0,553.4,11974 
mutau_3_1,11002.7,534.5,10245 
mutau_2_2,4568.9,238.6,4291  
mutau_3_2,5972.3,316.4,5668  
